known=0, unknown=1 
known=1, unknown=1 
known=2, unknown=1 
known=3, unknown=1 
known=4, unknown=1 
known=5, unknown=1 
known=6, unknown=1 
known=7, unknown=1 
known=8, unknown=1 
known=9, unknown=1 
known=10, unknown=1 
known=11, unknown=1 
known=12, unknown=1 
known=13, unknown=1 1 
known=15, unknown=1 1 
known=17, unknown=1 1 
known=19, unknown=1 1 
known=21, unknown=1 1 
known=23, unknown=1 1 1 
known=26, unknown=1 1 1 
known=29, unknown=1 1 1 1 
known=33, unknown=1 1 1 1 
known=37, unknown=1 1 1 1 
known=41, unknown=1 1 1 1 
known=45, unknown=1 1 1 1 
known=49, unknown=1 1 1 1 
known=53, unknown=1 1 1 
known=56, unknown=1 1 1 
known=59, unknown=1 1 1 
known=62, unknown=1 1 
known=64, unknown=1 1 
known=66, unknown=1 1 
known=68, unknown=1 1 
known=70, unknown=1 
known=71, unknown=1 1 
known=73, unknown=1 1 
known=75, unknown=1 1 1 
known=78, unknown=1 1 1 
known=81, unknown=1 1 1 
known=84, unknown=1 1 1 
known=87, unknown=1 1 1 
known=90, unknown=1 1 1 
known=93, unknown=1 1 1 
known=96, unknown=1 1 1 
known=99, unknown=1 1 1 
known=102, unknown=1 
known=103, unknown=1 
known=104, unknown=1 
known=105, unknown=1 
known=106, unknown=1 
known=107, unknown=1 
known=108, unknown=1 1 
known=110, unknown=1 1 
known=112, unknown=1 1 
known=114, unknown=1 
known=115, unknown=1 
known=116, unknown=1 
known=117, unknown=1 
known=118, unknown=1 
known=119, unknown=1 
known=120, unknown=1 
known=121, unknown=1 
known=122, unknown=1 
known=123, unknown=1 
known=124, unknown=1 
known=125, unknown=1 1 
known=127, unknown=1 1 
known=129, unknown=1 
known=130, unknown=1 
known=131, unknown=1 
known=132, unknown=1 
known=133, unknown=1 
known=134, unknown=1 
known=135, unknown=1 
known=136, unknown=1 
known=137, unknown=1 
known=138, unknown=1 
known=139, unknown=1 
known=140, unknown=1 
known=141, unknown=1 
known=142, unknown=1 
known=143, unknown=1 
known=144, unknown=1 
known=145, unknown=1 
known=146, unknown=1 1 
known=148, unknown=1 1 
known=150, unknown=1 1 
known=152, unknown=1 1 
known=154, unknown=1 1 
known=156, unknown=1 1 
known=158, unknown=1 1 
known=160, unknown=1 1 
known=162, unknown=1 1 
known=164, unknown=1 1 
known=166, unknown=1 1 
known=168, unknown=1 1 
known=170, unknown=1 1 
known=172, unknown=1 1 
known=174, unknown=1 1 1 
known=177, unknown=1 1 1 
known=180, unknown=1 1 
known=182, unknown=1 1 
known=184, unknown=1 1 
known=186, unknown=1 1 
known=188, unknown=1 1 
known=190, unknown=1 1 
known=192, unknown=1 1 
known=194, unknown=1 1 
known=196, unknown=1 1 
known=198, unknown=1 1 
known=200, unknown=1 1 
known=202, unknown=1 1 
known=204, unknown=1 1 1 
known=207, unknown=1 1 1 
known=210, unknown=1 1 1 
known=213, unknown=1 1 
known=215, unknown=1 1 
known=217, unknown=1 1 
known=219, unknown=1 1 
known=221, unknown=1 1 
known=223, unknown=1 1 
known=225, unknown=1 1 1 
known=228, unknown=1 1 
known=230, unknown=1 1 
known=232, unknown=1 1 
known=234, unknown=1 
known=235, unknown=1 
known=236, unknown=1 
known=237, unknown=1 
known=238, unknown=1 
known=239, unknown=1 
known=240, unknown=1 
known=241, unknown=1 
known=242, unknown=1 
known=243, unknown=1 
known=244, unknown=1 
known=245, unknown=1 
known=246, unknown=1 
known=247, unknown=1 
known=248, unknown=1 
known=249, unknown=1 
known=250, unknown=1 
known=251, unknown=1 
known=252, unknown=1 1 
known=254, unknown=1 1 
known=256, unknown=1 1 
known=258, unknown=1 1 
known=260, unknown=1 1 
known=262, unknown=1 1 
known=264, unknown=1 1 
known=266, unknown=1 1 
known=268, unknown=1 1 
known=270, unknown=1 1 
known=272, unknown=1 1 1 
known=275, unknown=1 1 
known=277, unknown=1 1 
known=279, unknown=1 1 
known=281, unknown=1 1 1 
known=284, unknown=1 1 
known=286, unknown=1 1 
known=288, unknown=1 1 
known=290, unknown=1 1 
known=292, unknown=1 1 
known=294, unknown=1 1 
known=296, unknown=1 1 
known=298, unknown=1 1 
known=300, unknown=1 1 1 
known=303, unknown=1 1 1 
known=306, unknown=1 1 1 
known=309, unknown=1 1 
known=311, unknown=1 1 
known=313, unknown=1 1 
known=315, unknown=1 1 
known=317, unknown=1 1 
known=319, unknown=1 1 
known=321, unknown=1 1 
known=323, unknown=1 1 1 
known=326, unknown=1 1 
known=328, unknown=1 1 
known=330, unknown=1 1 
known=332, unknown=1 1 
known=334, unknown=1 1 
known=336, unknown=1 1 
known=338, unknown=1 1 
known=340, unknown=1 1 
known=342, unknown=1 1 
known=344, unknown=1 1 
known=346, unknown=1 1 
known=348, unknown=1 1 
known=350, unknown=1 1 
known=352, unknown=1 1 
known=354, unknown=1 1 
known=356, unknown=1 
known=357, unknown=1 
known=358, unknown=1 
known=359, unknown=1 
known=360, unknown=1 
known=361, unknown=1 
known=362, unknown=1 
known=363, unknown=1 
known=364, unknown=1 
known=365, unknown=1 
known=366, unknown=1 
known=367, unknown=1 
known=368, unknown=1 
known=369, unknown=1 
known=370, unknown=1 
known=371, unknown=1 
known=372, unknown=1 
known=373, unknown=1 
known=374, unknown=1 
known=375, unknown=1 
known=376, unknown=1 
known=377, unknown=1 
known=378, unknown=1 
known=379, unknown=1 
known=380, unknown=1 
known=381, unknown=1 
